City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,weligama,5.9667,80.4167,24.4,87,100,1.32,LK,1701215390
202,zaozersk,69.4005,32.4476,-2.34,92,100,7.71,RU,1701215390
203,namibe,-15.1961,12.1522,23.28,79,93,1.66,AO,1701215390
204,anzio,41.4853,12.6179,10.18,64,55,1.9,IT,1701215390
205,la ronge,55.1001,-105.2842,2.14,60,0,5.66,CA,1701215391
206,kalmunai,7.4167,81.8167,24.51,88,100,1.9,LK,1701215391
207,migori,-1.0634,34.4731,17.47,92,100,2.3,KE,1701215391
208,orapa,-21.2833,25.3667,25.13,24,3,3.23,BW,1701215391
209,xuddur,4.1213,43.8894,22.79,69,20,4.43,SO,1701215391
210,hovd,48.0056,91.6419,-10.73,98,59,0.46,MN,1701215392
211,xinyuan,37.3,99.0,-8.64,36,34,2.46,CN,1701215392
212,khorixas,-20.3667,14.9667,24.03,51,60,3.31,NA,1701215392
213,st. john's,47.5649,-52.7093,9.66,95,100,11.83,CA,1701215278
214,constantia,44.1833,28.65,7.61,87,100,8.45,RO,1701215392
215,rocha,-34.4833,-54.3333,18.55,96,66,4.54,UY,1701215392
216,mata-utu,-13.2816,-176.1745,28.65,79,99,8.95,WF,1701215393
217,portland,45.5234,-122.6762,8.63,61,75,3.6,US,1701215030
218,walvis bay,-22.9575,14.5053,17.27,84,11,2.14,NA,1701215393
219,humaita,-7.5061,-63.0208,24.36,87,77,1.14,BR,1701215393
220,wotho,10.1657,166.0102,27.75,75,21,9.2,MH,1701215393
221,ambon,-3.6954,128.1814,31.07,100,40,1.54,ID,1701215394
222,san andres,12.5847,-81.7006,29.01,74,20,6.69,CO,1701215394
223,steyerberg,52.5667,9.0333,0.93,96,96,7.53,DE,1701215394
224,perry,37.2506,-83.1999,1.1,52,1,0.79,US,1701215394
225,tangalle,6.024,80.7911,24.2,88,100,1.68,LK,1701215394
226,floro,61.5996,5.0328,-3.02,54,100,4.12,NO,1701215395
227,timbuktu,16.7735,-3.0074,22.54,15,0,4.9,ML,1701215395
228,hilo,19.7297,-155.09,27.27,74,100,5.66,US,1701215395
229,angaur state,6.906,134.13,29.05,78,99,7.6,PW,1701215395
230,illizi,26.4833,8.4667,13.89,23,69,0.92,DZ,1701215395
231,karlshamn,56.1706,14.8619,-9.73,76,91,2.12,SE,1701215396
232,plettenberg bay,-34.0527,23.3716,15.72,79,77,5.87,ZA,1701215111
233,mantua,45.1667,10.7833,3.92,80,0,1.85,IT,1701215396
234,sao tome,0.3365,6.7273,26.32,82,67,0.86,ST,1701215396
235,garoowe,8.4054,48.4845,22.55,69,93,5.04,SO,1701215396
236,colonia,50.9333,6.95,2.14,82,40,3.6,DE,1701215368
237,aktau,43.65,51.2,1.32,67,47,3.79,KZ,1701215397
238,san marcos,33.1434,-117.1661,21.62,49,0,4.63,US,1701215204
239,farnham,51.2143,-0.7959,3.75,89,40,3.6,GB,1701215397
240,sisimiut,66.9395,-53.6735,-5.64,65,100,6.51,GL,1701215397
241,labytnangi,66.6572,66.4183,-10.15,93,100,6.18,RU,1701215397
242,hasaki,35.7333,140.8333,11.22,50,0,5.77,JP,1701215398
243,san juan de miraflores,-12.1629,-76.9635,22.32,74,76,3.5,PE,1701215398
244,alora,36.8236,-4.7058,15.83,89,38,2.59,ES,1701215398
245,nuuk,64.1835,-51.7216,2.34,48,100,11.83,GL,1701215247
246,sur,22.5667,59.5289,23.64,69,4,4.08,OM,1701215398
247,tarko-sale,64.9225,77.785,-3.3,97,100,2.76,RU,1701215398
248,guiuan,11.0333,125.7247,28.29,83,87,8.88,PH,1701215399
249,qorovulbozor,39.5006,64.7936,10.84,49,89,8.64,UZ,1701215399
250,lakhdenpokh'ya,61.5198,30.1992,-5.7,88,99,4.41,RU,1701215399
251,igarka,67.4667,86.5833,-24.04,97,70,2.4,RU,1701215399
252,tumpat,6.1978,102.171,25.66,94,40,1.03,MY,1701215399
253,prainha,-1.8,-53.48,27.35,60,46,1.51,BR,1701215400
254,tofol,5.3248,163.0078,27.88,83,75,4.63,FM,1701215400
255,yermentau,51.6214,73.1069,-0.18,62,84,2.73,KZ,1701215400
256,talnakh,69.4865,88.3972,-23.79,98,33,2.03,RU,1701215400
257,skovorodino,53.9833,123.9167,-15.3,75,88,2.85,RU,1701215401
258,sola,-13.8833,167.55,26.6,83,72,7.59,VU,1701215401
259,avarua,-21.2078,-159.775,24.03,94,75,7.2,CK,1701215401
260,batalha,-9.6778,-37.1247,24.58,72,2,4.58,BR,1701215402
261,urangan,-25.3,152.9,24.05,83,32,4.13,AU,1701215402
262,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,86,75,4.47,RU,1701215402
263,bousso,10.4795,16.7117,26.76,25,52,0.51,TD,1701215403
264,alofi,-19.0595,-169.9187,28.94,65,75,4.63,NU,1701215403
265,mili,6.0815,171.735,28.05,78,100,8.75,MH,1701215404
266,kendari,-3.945,122.4989,27.63,81,96,0.68,ID,1701215187
267,mount pearl,47.5166,-52.7813,9.19,95,100,11.83,CA,1701215404
268,jingdezhen,29.2947,117.2079,12.41,68,44,1.12,CN,1701215405
269,bou arkoub,36.5385,10.5509,15.57,79,33,3.77,TN,1701215405
270,zabol,32.25,67.25,5.68,44,0,2.67,AF,1701215405
271,palmer,42.1584,-72.3287,0.08,54,70,2.24,US,1701215405
272,berezovyy,51.6667,135.7,-16.58,84,90,0.62,RU,1701215406
273,aitape,-3.1374,142.3475,29.69,68,92,0.6,PG,1701215406
274,punxsutawney,40.9437,-78.9709,-4.68,72,79,2.24,US,1701215406
275,paijan,-7.7333,-79.3022,19.57,78,15,5.22,PE,1701215407
276,antigonish,45.6169,-61.9986,0.71,95,93,1.34,CA,1701215407
277,nueva gerona,21.8833,-82.8,24.05,72,98,9.45,CU,1701215407
278,dampit,-8.2116,112.7493,24.7,81,100,1.6,ID,1701215407
279,ancud,-41.8697,-73.8203,10.8,87,38,6.28,CL,1701215408
280,ceerigaabo,10.6162,47.368,13.53,28,100,3.2,SO,1701215408
281,gulu,2.7746,32.299,19.17,79,48,0.52,UG,1701215408
282,sainte-anne-des-monts,49.124,-66.4924,-4.07,93,80,4.63,CA,1701215408
283,whangarei,-35.7317,174.3239,21.49,42,57,3.63,NZ,1701215409
284,tual,-5.6667,132.75,28.57,70,100,0.76,ID,1701215409
285,novyy urgal,51.0736,132.5642,-19.22,94,99,0.2,RU,1701215409
286,hithadhoo,-0.6,73.0833,28.03,74,100,4.44,MV,1701215410
287,ismailia,30.6043,32.2723,15.03,59,90,3.31,EG,1701215410
288,kill devil hills,36.0307,-75.676,7.21,47,0,6.69,US,1701215410
289,kudahuvadhoo,2.6708,72.8944,27.66,77,100,4.19,MV,1701215411
290,forster,-32.1667,152.5167,26.83,67,98,6.5,AU,1701215411
291,peace river,56.2501,-117.286,5.17,60,20,7.2,CA,1701215411
292,thinadhoo,0.5333,72.9333,27.89,76,100,4.86,MV,1701215411
293,sao paulo de olivenca,-3.3783,-68.8725,23.84,95,69,0.97,BR,1701215411
294,copala,16.65,-98.9833,26.88,79,49,1.65,MX,1701215412
295,kavieng,-2.5744,150.7967,28.82,73,99,3.17,PG,1701215412
296,flin flon,54.7682,-101.865,0.91,80,100,3.09,CA,1701215040
297,lexington,37.9887,-84.4777,-2.0,53,0,2.06,US,1701215267
298,zemetchino,53.4973,42.6163,-5.03,91,51,2.46,RU,1701215413
299,pennagaram,12.1333,77.9,20.05,96,97,1.61,IN,1701215413
300,san julian,21.0167,-102.1667,18.05,49,100,1.16,MX,1701215413
301,gadzhiyevo,69.2551,33.3362,-2.64,89,100,6.94,RU,1701215414
302,poronaysk,49.2167,143.1167,-7.57,85,100,11.93,RU,1701215414
303,ruidoso,33.3317,-105.673,8.09,49,0,3.6,US,1701215414
304,bay city,43.5945,-83.8889,-3.3,67,75,4.63,US,1701215414
305,vernon,50.2581,-119.2691,3.34,58,22,0.89,CA,1701215189
306,alenquer,-1.9417,-54.7383,26.26,75,85,1.7,BR,1701215415
307,menongue,-14.6585,17.691,17.63,92,100,1.78,AO,1701215415
